layer,neuron,acc_drop,ablated_acc,baseline_acc
classifier[1],61,0.0020999999999999908,0.9877,0.9898
classifier[1],96,0.0017000000000000348,0.9881,0.9898
classifier[1],86,0.0015000000000000568,0.9883,0.9898
classifier[1],58,0.0014000000000000679,0.9884,0.9898
classifier[1],94,0.0011999999999999789,0.9886,0.9898
classifier[1],2,0.0008000000000000229,0.989,0.9898
classifier[1],37,0.0008000000000000229,0.989,0.9898
classifier[1],63,0.0008000000000000229,0.989,0.9898
classifier[1],105,0.0008000000000000229,0.989,0.9898
classifier[1],78,0.0008000000000000229,0.989,0.9898
